split_type,model_name,fraction,seed,test_mse,test_cross_entropy
parameter_amb,pt5,0.42,42,0.053473313329976534,0.6930565341391983
parameter_amb,ev,0.44,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.44,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.44,42,0.05406302996866306,0.6942378098642138
parameter_amb,pt5,0.44,42,0.05344974806025346,0.6930093850549404
parameter_amb,ev,0.46,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.46,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.46,42,0.05421584066904654,0.6945434155858805
parameter_amb,pt5,0.46,42,0.05351499181661041,0.693139924464622
parameter_amb,ev,0.48,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.48,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.48,42,0.05420723014780625,0.6945261865764151
parameter_amb,pt5,0.48,42,0.053500368788926334,0.6931106664831294
parameter_amb,ev,0.5,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.5,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.5,42,0.05417060261464076,0.6944529065112338
parameter_amb,pt5,0.5,42,0.05345285366687625,0.6930155987398668
parameter_amb,ev,0.52,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.52,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.52,42,0.05401615949167453,0.6941442280673671
parameter_amb,pt5,0.52,42,0.053509365335184966,0.6931286668755385
parameter_amb,ev,0.54,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.54,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.54,42,0.05400231633053502,0.6941167508861613
parameter_amb,pt5,0.54,42,0.0535049711008508,0.6931198748271912
parameter_amb,ev,0.56,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.56,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.56,42,0.054005708120138676,0.694123422494012
parameter_amb,pt5,0.56,42,0.05353044256532333,0.6931708389413739
parameter_amb,ev,0.58,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.58,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.58,42,0.054005255046978506,0.6941225233453944
parameter_amb,pt5,0.58,42,0.053522808668395726,0.69315556468171
parameter_amb,ev,0.6,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.6,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.6,42,0.054123991187087904,0.6943596769616945
parameter_amb,pt5,0.6,42,0.05350374556053517,0.6931174227531138
parameter_amb,ev,0.62,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.62,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.62,42,0.05410962995503886,0.6943309596017352
parameter_amb,pt5,0.62,42,0.05350659408551141,0.6931231221153826
parameter_amb,ev,0.64,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.64,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.64,42,0.05411861009361869,0.6943489162303759
parameter_amb,pt5,0.64,42,0.05354019734364459,0.6931903569226454
parameter_amb,ev,0.66,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.66,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.66,42,0.05414804889919491,0.6944077918484379
parameter_amb,pt5,0.66,42,0.05355161325079286,0.6932131988442756
parameter_amb,ev,0.68,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.68,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.68,42,0.05407096478985031,0.6942536663615543
parameter_amb,pt5,0.68,42,0.05356613709296287,0.6932422598016089
parameter_amb,ev,0.7,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.7,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.7,42,0.05408015764759765,0.6942720395643244
parameter_amb,pt5,0.7,42,0.05358752246427671,0.6932850509921108
parameter_amb,ev,0.72,42,0.06823183389692086,0.7253045588060919
parameter_amb,eu,0.72,42,0.054647710161509724,0.6954111652951989
parameter_amb,pt3,0.72,42,0.05411050202532308,0.6943327033181111
